Left;20;10;11;-3
Down;20;10;13;2
Right;40;15;7;2
Down;40;15;13;6
Left;40;11;13;-4
Down;40;11;15;2
Right;40;12;15;1
Up;40;12;12;-3
Right;10;6;8;1
Down;30;2;8;4
Right;30;5;8;3
Down;30;5;10;2
Left;10;2;8;-4
Right;30;15;10;10
Down;30;15;13;3
Left;30;11;13;-4
Down;30;11;15;2
Left;30;3;15;-8
Up;30;3;12;-3
Right;30;6;12;3
